RSI_W,SMA_W,Buy,Sell,Hold,Pos,Ret,MDD,WR,Trades
3,30,20,74,20,5,-49.000296724849555,-75.74384855818447,60.22792022792023,1755
3,30,20,74,20,7,-59.69389417024964,-75.67706397442025,59.219712525667354,2435
3,30,20,74,20,10,-59.58890241124948,-72.7312525954919,58.234758871701544,3297
3,30,20,74,25,3,-55.82031180639952,-74.64709452284085,59.36902485659655,1046
3,30,20,74,25,5,-37.16819600349952,-70.41625981729945,59.91879350348028,1724
3,30,20,74,25,7,-51.67939761744933,-72.76868219149357,59.9581589958159,2390
3,30,20,74,25,10,-57.706649055249706,-72.7216816054908,58.448753462603875,3249
3,30,20,74,30,3,-63.646581258199575,-78.5381438388458,59.30232558139535,1032
3,30,20,74,30,5,-49.74117836564938,-71.21067185684977,59.870740305522915,1702
3,30,20,74,30,7,-49.24314570619952,-70.13832984205568,60.10122311261071,2371
3,30,20,74,30,10,-59.56456968494949,-74.11789592396593,58.310120705663884,3231
3,30,20,74,40,3,-62.647155331749694,-77.53210302512964,59.320388349514566,1030
3,30,20,74,40,5,-53.0816687649497,-72.61668295295426,59.694477085781436,1702
3,30,20,74,40,7,-44.63721806889961,-67.8335552584706,60.26182432432432,2368
3,30,20,74,40,10,-55.08376635344957,-71.3425097190182,58.43429636533085,3219
3,30,20,76,10,3,-16.596090013349507,-69.61091395490497,57.54560530679934,1206
3,30,20,76,10,5,-34.22986710879946,-67.67181157501125,57.89473684210527,1995
3,30,20,76,10,7,-32.95999802919947,-67.54385927447412,58.23336968375137,2751
3,30,20,76,10,10,-59.202182845599474,-71.6249626854293,57.28602383531961,3692
3,30,20,76,15,3,-58.492318015499634,-81.14536733576735,59.176029962546814,1068
3,30,20,76,15,5,-56.033026151899755,-75.4189948887423,59.009009009009006,1776
3,30,20,76,15,7,-59.92527424599954,-77.45792227151084,58.854805725971374,2445
3,30,20,76,15,10,-62.775170317749684,-77.17480353707612,57.82621858916137,3303
3,30,20,76,20,3,-61.24169880369954,-77.75763075824507,59.295499021526425,1022
3,30,20,76,20,5,-43.90092033404949,-68.86022450040663,60.591990713871155,1723
3,30,20,76,20,7,-51.36822808829953,-73.77695230386483,59.598976109215016,2344
3,30,20,76,20,10,-58.035464198049546,-71.77016356745561,58.30433407149636,3161
3,30,20,76,25,3,-55.518904345449535,-75.5426996532779,59.240759240759246,1001
3,30,20,76,25,5,-21.85941875699957,-64.61164402831477,60.60786650774732,1678
3,30,20,76,25,7,-34.68394611319929,-68.14628500343038,59.88749459108611,2311
3,30,20,76,25,10,-40.40319785744957,-67.02912459604902,59.10983029138649,3123
3,30,20,76,30,3,-46.97333342424952,-71.08230811205577,59.75975975975976,999
3,30,20,76,30,5,-30.590190448349595,-62.09042503463548,60.38300418910831,1671
3,30,20,76,30,7,-47.574692408749605,-71.95223649760644,59.982409850483734,2274
3,30,20,76,30,10,-52.093843633949575,-70.55869010207438,59.133527319754286,3093
3,30,20,76,40,3,-52.73195188544951,-74.27035936080298,59.89949748743718,995
3,30,20,76,40,5,-39.81856180539949,-67.18121845547532,60.13268998793727,1658
3,30,20,76,40,7,-46.31812212869954,-69.2443960924531,59.920459566946526,2263
3,30,20,76,40,10,-54.8802507878996,-71.82829261604745,58.95522388059702,3082
3,30,20,78,10,3,-62.9712458455495,-82.15625920215764,56.12068965517242,1160
3,30,20,78,10,5,-73.70384727149961,-85.3063627950266,56.43564356435643,1919
3,30,20,78,10,7,-40.76799038409953,-66.18150425100195,56.85757347400151,2654
3,30,20,78,10,10,-66.15465386799957,-74.1741699240173,55.98994694219491,3581
3,30,20,78,15,3,-68.8771275460497,-86.11202131602428,58.30078125,1024
3,30,20,78,15,5,-37.132015551849406,-69.06700273688021,58.62676056338029,1704
3,30,20,78,15,7,-65.92869287604961,-81.56432894687238,58.32618025751073,2330
