SMA,Buy,Sell,Hold,Return,MDD,Win,Trades
60,35,70,10,511.11132480882003,-54.57830018380891,48.77288663809895,2567
200,35,65,20,510.73076070577616,-53.74543970631098,56.05797101449276,1725
120,20,75,40,504.8971132071556,-42.370192018157745,57.57997218358831,719
200,40,65,20,502.65511863096106,-59.31653971088113,56.666666666666664,1800
60,30,70,20,502.36884958906654,-43.644216255479634,51.8188057652711,1457
100,20,70,20,498.2142522946976,-44.51534210027817,52.84552845528455,984
50,20,60,40,490.00435845550567,-29.910934447197214,66.89774696707106,577
100,35,65,10,488.9331096637707,-51.55440688982753,49.761117236310184,2721
50,35,80,10,488.3488295667571,-54.740200899014035,47.81879194630873,2384
120,35,80,10,486.9428388742641,-61.92475540000114,48.346456692913385,2540
20,40,80,40,483.2291447213982,-43.225745151365345,52.94117647058824,833
100,30,65,10,477.111340093321,-51.67194086219147,49.68918358889349,2413
60,20,70,40,475.4690136463817,-43.40368045244374,62.52019386106623,619
100,25,80,10,473.9470155352162,-48.25454161115326,47.980613893376415,1857
200,35,65,40,473.569920362392,-48.249552475995586,63.378058405682715,1267
60,25,65,10,462.8220459046512,-45.617808632253706,50.09299442033478,1613
120,20,80,20,462.6772137613112,-45.062484946063854,48.574338085539715,982
50,40,75,10,460.99037120574627,-63.792110666616466,47.72812617348855,2663
120,20,65,20,460.74165663031994,-44.9459554016968,55.65862708719852,1078
120,20,70,40,455.1021892507796,-38.94387703365864,62.099871959026885,781
50,20,60,20,451.941222830687,-25.096284123594664,61.5,600
120,25,65,40,449.35667659907523,-55.35069249611274,63.51606805293005,1058
50,20,65,40,448.7082553448518,-29.911956816841972,64.568345323741,556
60,20,75,20,448.3019278245364,-28.60811475286204,48.86363636363637,704
200,30,75,20,448.244596750805,-50.56166999815454,51.791988756148974,1423
50,35,70,10,447.566610357479,-56.129318425948725,49.05811623246493,2495
50,40,70,20,447.24141146584174,-55.74806852558676,53.11398354876615,1702
100,30,75,40,445.5039383259263,-50.89845414585541,58.00438596491229,912
60,40,60,10,445.30804577036804,-55.3275902510765,53.2184655396619,3076
200,25,70,40,443.4106018194359,-53.01735402996404,62.448132780082986,964
60,30,65,20,441.1758211595962,-49.41872293860964,55.45513234344739,1549
120,40,65,40,439.9636322950191,-58.17004789426132,64.77941176470588,1360
100,30,70,20,433.9173553841131,-52.46454470959458,51.98412698412699,1512
50,20,70,10,431.2488823575784,-23.750830006656457,53.205128205128204,624
20,40,70,20,430.0894933236009,-58.31902905018266,54.919137466307276,1484
20,40,60,40,426.6898800026089,-48.29054290803111,67.35751295336787,1544
60,20,65,10,426.3007197175876,-32.34980452487514,52.05314009661836,828
50,35,75,10,425.9369476729723,-56.11643791802933,48.33812064013131,2437
200,25,75,40,425.88848237801466,-52.67824218896941,58.053302433371954,863
50,20,65,10,424.5714542049444,-23.7504492188354,53.674121405750796,626
60,20,70,20,424.07614289959685,-36.700811329421505,51.61290322580645,713
50,20,80,20,421.97221534101993,-31.258892730826393,47.14285714285714,560
50,20,70,20,419.39768869410017,-28.994915315881997,52.00698080279233,573
