RSI,SMA,Buy,Sell,Hold,Return,MDD,WinRate,Trades
3,20,10,70,25,538.2624772465144,-58.68367753793178,62.41914618369987,3092
3,20,10,70,30,539.9580175670625,-62.231395136257994,62.51633986928105,3060
3,20,10,70,40,594.5639505847296,-60.322956709641026,62.52471984179301,3034
3,20,10,70,50,591.142578799037,-60.38291161513661,62.51239669421488,3025
3,20,10,75,5,9.841469212940957,-67.32382943777465,51.74953959484346,4887
3,20,10,75,10,492.499830768707,-54.916046494815916,57.62237762237762,3575
3,20,10,75,15,370.30831768397246,-58.216677765053625,60.20572163291546,3111
3,20,10,75,20,805.6331395146717,-53.256879486493084,61.53846153846154,2925
3,20,10,75,25,678.945418748444,-53.80832484754232,61.59034433794817,2817
3,20,10,75,30,749.1802931080441,-57.03384775747609,61.79775280898876,2759
3,20,10,75,40,702.523555152233,-59.881310303533716,61.65689149560117,2728
3,20,10,75,50,561.3048972136598,-55.00620853944873,61.59259259259259,2700
3,20,10,80,5,36.68380511031168,-61.697517881230844,50.831403914965264,4751
3,20,10,80,10,472.9574533765283,-53.60002399340736,56.37799882972499,3418
3,20,10,80,15,280.11309506047246,-55.869359854509646,58.62663906142167,2898
3,20,10,80,20,1610.6115653019597,-50.566199639280185,61.2237375598968,2713
3,20,10,80,25,798.9453926577436,-56.3703356973707,61.02624363493929,2553
3,20,10,80,30,889.1922951185588,-63.27614521348902,61.58463385354141,2499
3,20,10,80,40,1147.8526157989609,-62.041428145411416,61.702127659574465,2444
3,20,10,80,50,981.3906506486378,-60.89797231084096,61.617829137432935,2423
3,20,15,55,5,105.00061464448356,-62.04225608113154,56.32263660017346,5765
3,20,15,55,10,602.1411286976438,-52.446875847943886,63.366988586479366,4556
3,20,15,55,15,783.2124487538092,-57.4214551379159,64.09348441926346,4236
3,20,15,55,20,964.6203223104175,-59.841833266566404,64.04928726745591,4139
3,20,15,55,25,851.2138784223658,-55.700252643779024,63.98439405023165,4101
3,20,15,55,30,964.9632694761955,-53.23309486564089,63.99121737009027,4099
3,20,15,55,40,1032.2304672669316,-53.29974048144498,63.98729538236013,4093
3,20,15,55,50,1032.2304672669316,-53.29974048144498,63.98729538236013,4093
3,20,15,60,5,142.3889081564243,-59.314044330233116,55.71632725973562,5598
3,20,15,60,10,494.1254433027896,-50.50862729701502,62.55210745715609,4318
3,20,15,60,15,532.171085132416,-57.57852189257384,63.13915034342406,3931
3,20,15,60,20,1100.439952248155,-50.053959762497335,63.46805736636245,3835
3,20,15,60,25,713.3546619970774,-55.519330824138216,63.41463414634146,3772
3,20,15,60,30,954.8202713999112,-55.09525950580352,63.413333333333334,3750
3,20,15,60,40,983.1889881253364,-60.25772422623772,63.429641519529156,3738
3,20,15,60,50,997.633713871432,-59.46118450476675,63.43942230542926,3739
3,20,15,65,5,323.44005662508187,-58.18504697073471,54.896196950211284,5443
3,20,15,65,10,492.75140741071436,-49.127670640196506,60.9142019066243,4091
3,20,15,65,15,511.1093306360639,-58.24187476444666,62.340483301656256,3683
3,20,15,65,20,975.8156975722216,-57.04784090689912,62.9181894855215,3557
3,20,15,65,25,714.3988280993717,-52.469058568032544,62.90229885057471,3480
3,20,15,65,30,1213.1935951182734,-51.46003982639813,62.836468885672936,3455
3,20,15,65,40,1222.7062338065411,-51.81922265477783,62.81976744186046,3440
3,20,15,65,50,1282.800596325718,-49.65587343554827,62.848837209302324,3440
3,20,15,70,5,100.40457021005018,-57.875675248749424,53.44827586206896,5278
3,20,15,70,10,265.13277684525974,-59.04440477371477,59.2496765847348,3865
3,20,15,70,15,363.84675765534666,-54.79181172592966,61.42102172636523,3406
