SMA,Buy,Sell,MaxPos,MaxHold,Return,MDD,WinRate,Trades
110,22,74,4,40,1643.313660766249,-46.57802223171378,64.08963585434174,1785
90,32,74,4,25,1640.0673656570002,-51.130241986879014,63.36796063422635,1829
90,30,72,4,10,1639.8129179183002,-44.33865997873253,61.9815668202765,2170
70,20,74,4,10,1636.4868228946498,-41.12744294203791,61.868446139180165,2098
90,28,76,4,40,1634.3756578076996,-47.970521541986194,62.7147766323024,1746
90,32,74,4,30,1633.6228935367496,-46.304023080375124,63.17233809001098,1822
50,32,72,4,20,1631.3183487209997,-54.66716225487015,62.67352185089974,1945
150,20,72,4,15,1629.6085580924491,-49.07116447976532,62.978283350568766,1934
50,26,80,4,15,1624.2307867657505,-46.44286506937436,61.776738749269434,1711
30,20,80,4,10,1624.0026973447996,-55.381813901998214,60.28586013272078,1959
90,24,72,4,15,1618.2658563755506,-51.8973721388778,63.55329949238578,1970
90,22,72,4,30,1615.7626731820503,-54.58489138110034,64.17594064652889,1887
30,32,78,4,10,1610.5781154630001,-51.31755518634278,60.871694417238,2042
70,30,72,4,20,1601.5856329343503,-53.080074701257985,62.2907949790795,1912
90,30,72,4,40,1591.4225005088006,-39.205980058584224,64.08488063660478,1885
90,20,76,4,40,1588.603129561,-47.92716886588485,63.091118800461366,1734
90,30,76,4,40,1585.2449142623004,-47.439127371694305,62.86366229321164,1753
130,20,78,4,25,1584.8164352545004,-45.65948958306331,62.960687960687956,1628
50,22,72,4,20,1575.0438678723992,-61.347529721743655,62.56490134994807,1926
90,30,72,4,30,1573.8057494615,-39.20514284317634,64.03601694915254,1888
90,28,72,4,40,1568.1550295924992,-40.56794064112516,63.85477843032567,1873
90,30,72,4,15,1562.8880931849008,-50.98593939446355,63.35529650278763,1973
50,24,74,4,15,1558.5106323808002,-47.15125312019753,62.61096605744125,1915
150,22,72,4,15,1557.5386376605998,-53.743453698780264,63.25796505652621,1946
110,20,78,4,15,1552.4159692701498,-54.15432883479085,62.5,1760
50,32,70,4,10,1550.9151144980506,-54.08092159068484,62.10851345390383,2267
90,22,76,4,25,1548.4848186181505,-52.503745810662096,62.72054638588504,1757
110,22,72,4,25,1546.9809064324504,-53.77214501768095,64.04849762783343,1897
150,24,72,4,15,1546.8173607187016,-53.22632511012176,63.0556974961676,1957
110,20,76,4,25,1543.5517964970998,-48.08524495341097,63.578088578088575,1716
30,30,80,4,10,1543.416049718601,-54.46468853470824,60.775427995971796,1986
110,22,72,4,30,1540.2615111820005,-52.836641891724334,63.993627190653214,1883
90,28,72,4,30,1536.6390614444003,-38.702311810205046,63.93617021276595,1880
90,20,78,4,15,1536.2004586993503,-39.488662041774646,62.36436322101656,1751
130,32,72,4,20,1533.5335609757503,-47.95344181155382,63.13581541688515,1907
110,20,76,4,30,1525.9382314192508,-46.246504773715586,63.51351351351351,1702
130,20,76,4,25,1519.1765033689996,-44.226876773012926,63.55085243974132,1701
110,22,74,4,30,1514.5719398684491,-46.64147610364606,64.08963585434174,1785
110,24,76,4,25,1500.587377032599,-49.42218113989641,63.74133949191686,1732
90,24,76,4,25,1496.8578047390497,-51.55022939040326,62.64855687606112,1767
110,20,76,4,40,1493.7050915723994,-46.99832555613002,63.191990577149596,1698
110,22,76,4,25,1488.2855046535985,-47.937531661372226,63.60485268630849,1731
90,20,76,4,25,1484.4583094931997,-51.52027198147516,62.77205040091638,1746
30,24,80,4,10,1481.8287294530494,-58.044280458673015,60.44852191641182,1962
90,20,72,4,10,1475.425769778199,-42.513506691958426,62.47672253258846,2148
50,24,76,4,15,1473.2707351672998,-54.682756854603994,61.904761904761905,1827
90,22,74,4,20,1473.2517401889502,-50.10524145527242,62.59583789704271,1826
130,32,78,4,30,1465.0437632960993,-49.11941214021318,62.84319707138499,1639
30,32,76,4,20,1461.7529596288998,-60.92634734059983,63.09655937846836,1802
50,28,72,4,20,1461.0679573887007,-56.829644937907986,62.47422680412371,1940
90,30,80,4,10,1460.2082872114495,-43.772836748539326,61.03430619559652,1953
90,28,76,4,25,1459.8814419049002,-52.78347903921286,62.63486655309484,1761
130,26,78,4,30,1459.8157833031996,-58.33118547553051,62.904209884075655,1639
110,22,76,4,30,1459.0880143883503,-46.08430655817403,63.51981351981352,1716
110,30,76,4,20,1458.008437636749,-50.38584512464796,63.569405099150146,1765
90,26,76,4,25,1454.883618273801,-52.16834577091883,62.585034013605444,1764
90,22,72,4,15,1451.7411690760507,-52.8305312921579,63.557594291539246,1962
70,22,72,4,20,1451.2867593578999,-53.193122941200244,62.48688352570829,1906
50,26,76,4,15,1445.2852582639503,-55.76624135445225,62.00326619488297,1837
70,26,74,4,10,1445.0249445233003,-45.53359758822095,61.69107227208313,2117
90,32,76,4,25,1443.41541250765,-55.129731378510186,62.705149971703456,1767
130,22,72,4,40,1441.135416670649,-48.661317300208744,62.96691568836713,1874
90,28,72,4,15,1435.9827131023503,-51.46466280479447,63.29625884732053,1978
150,30,72,4,15,1434.9118349218004,-55.1127988038708,62.97242083758938,1958
110,30,78,4,15,1433.1307898772006,-53.56072622773757,62.189616252821665,1772
110,20,78,4,25,1428.6236905224496,-53.06129067333221,63.72963186481593,1657
90,32,72,4,20,1425.1442463973005,-44.31769685809042,63.617354939885,1913
70,28,72,4,20,1423.7542354987509,-53.089957720844794,62.13389121338913,1912
130,22,72,4,25,1415.41676383425,-51.68375878839003,62.91777188328912,1885
110,22,78,4,15,1405.31356987865,-52.855030423905646,62.44343891402715,1768
70,28,78,4,15,1402.2992920361512,-50.067910706227714,61.79966044142614,1767
130,22,72,4,30,1400.80072102825,-48.664887421733276,63.0457933972311,1878
90,26,72,4,15,1396.5476613774497,-51.9458110433917,63.28600405679513,1972
