RSI_W,SMA_W,Buy,Sell,Hold,Pos,Ret,MDD,WR,Trades
3,30,20,74,15,3,-1.6347279342494137,-62.910371472700945,60.08230452674898,972
3,30,20,74,15,5,13.234277833200657,-59.46611500560467,60.23427866831072,1622
3,30,20,74,15,7,-31.44136107809956,-65.65845355101321,59.13785361472833,2227
3,30,20,74,15,10,-39.64457562864965,-65.99172830994564,58.97353131052292,3098
3,30,20,74,20,3,35.71131684260074,-63.86553774351999,60.72186836518046,942
3,30,20,74,20,5,-15.385198746599526,-63.255111832981704,60.70287539936102,1565
3,30,20,74,20,7,-21.768819133199436,-65.11991077174754,60.21110601193208,2179
3,30,20,74,20,10,-46.660142128499594,-71.58305490149138,59.32711525649567,3002
3,30,20,74,25,3,-39.19649784174973,-76.35383120867361,58.920704845814974,908
3,30,20,74,25,5,-8.33509719934964,-65.14285460774552,60.953608247422686,1552
3,30,20,74,25,7,-12.38116004444958,-56.1597393005977,60.65268065268066,2145
3,30,20,74,25,10,-37.78218888124967,-66.20936718551742,59.58093950659007,2959
3,30,20,74,30,3,-47.869462312699554,-75.20379755047318,59.2959295929593,909
3,30,20,74,30,5,25.259685698700718,-52.05708416386406,61.77036561898653,1559
3,30,20,74,30,7,-18.60678986054951,-58.64949281110603,60.57196436943273,2133
3,30,20,74,30,10,-32.76662384389943,-63.42705022034829,59.63834868645513,2931
3,30,20,74,40,3,-44.02990976834954,-74.75916835686064,59.625962596259626,909
3,30,20,74,40,5,13.30221595030061,-56.872254196132175,61.359223300970875,1545
3,30,20,74,40,7,-20.23398553994943,-59.68220524630824,60.38624587847386,2123
3,30,20,74,40,10,-36.93914362849957,-65.19893040791474,59.73360655737705,2928
3,30,20,76,10,3,-23.03848144149947,-73.04557540731665,58.17307692307693,1040
3,30,20,76,10,5,-33.20196082089954,-68.13503542391818,57.799767171129226,1718
3,30,20,76,10,7,-63.42730321859955,-78.11035218580601,56.71197960917587,2354
3,30,20,76,10,10,-41.81879229419961,-68.98168168471653,56.98596705308114,3278
3,30,20,76,15,3,-32.63831436624963,-80.03740091818794,58.39572192513369,935
3,30,20,76,15,5,51.588813526400635,-54.04984931977152,60.11378002528445,1582
