rsi_window,buy_threshold,sell_threshold,sma_window,return,mdd,win_rate,trades
14,35,75,100,116.36467701214985,-61.102715306809664,49.072164948453604,970
12,30,80,200,115.11525040295001,-56.79067127528786,50.95137420718816,946
5,30,85,150,114.36757690950006,-62.70478613693027,57.48373101952278,1383
7,25,80,150,112.1834412967,-65.92381350751886,56.196943972835314,1178
9,35,85,150,111.07121995290012,-48.542130041060325,48.96755162241888,1017
9,15,80,150,110.38133896895003,-49.250876550375374,52.230046948356815,852
14,30,90,150,109.81767080400004,-58.564729028068506,46.36363636363636,880
9,10,80,200,109.76936146724996,-41.295969482047504,50.85271317829457,645
14,20,85,150,108.33692258340002,-35.46281550599842,48.440366972477065,545
12,10,85,200,108.29297456809992,-18.66675012175826,53.2608695652174,276
14,30,70,100,108.22974547470001,-56.52293728323006,48.85993485342019,921
7,15,70,200,108.20590968140004,-63.6990033685682,59.71675845790716,1271
14,35,90,100,108.09931605529992,-50.819715163020284,46.84095860566449,918
10,30,85,100,107.77660394544992,-62.062244046833506,47.0404984423676,963
9,20,90,200,107.72288419019995,-65.30265219890833,49.77924944812362,906
12,15,85,200,105.72636529615016,-36.91807356346216,50.38314176245211,522
8,15,75,200,105.7106243108,-50.274890643696615,56.72797676669894,1033
14,20,80,100,105.70338317894996,-32.3130143351991,46.466809421841546,467
9,30,75,200,105.37984626570007,-59.84687226296387,53.72340425531915,1128
14,25,90,200,105.35834568474995,-51.081610186126184,47.612903225806456,775
12,30,90,150,105.17635272714992,-57.83151591349134,48.19277108433735,913
4,35,90,200,104.99911714289998,-62.78520104759654,58.23957643944407,1511
7,10,70,200,104.70262310894998,-48.50035507336724,58.490566037735846,1113
6,15,85,100,103.69683111830001,-65.91716582081743,53.94853593611357,1127
5,35,90,200,103.68330527925002,-55.78240958889784,54.12621359223301,1236
10,35,85,150,103.19949559204997,-71.97883951630102,47.005076142131976,985
7,25,80,200,103.03811089264995,-70.28713344504509,55.80808080808081,1188
8,15,80,200,102.76122178730009,-57.26580557893034,54.73251028806584,972
