params,return,win_rate,trades,params_str
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",10.6696560151501,55.23255813953488,516,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}",9.13677818655029,62.713387241689134,1113,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}",8.227223571100176,59.499263622974965,679,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",5.905783850950152,61.94852941176471,544,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",5.865898817850217,62.30088495575221,565,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",5.416376741800129,61.89624329159212,559,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}",3.222319455550059,62.74131274131274,518,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",2.9714831553003043,62.786434463794684,1091,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",2.032781254850164,62.22222222222222,540,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",1.1225944544501156,60.62271062271062,546,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",-0.15609169439984857,60.48265460030166,663,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}",-2.0875005366998765,61.52570480928689,603,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}",-2.5600180439998357,64.39252336448598,1070,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}",-2.6262003623999957,62.37006237006237,481,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}"
