SMA,Buy,Sell,Hold,Return,MDD,WinRate,Trades
150,35,75,30,938.8289972048499,-54.71547442082326,62.95444086516336,2173
50,15,80,20,936.3183369883008,-51.97124326570468,61.60122386537481,1961
100,15,80,10,933.7113929127501,-50.583699444331444,60.239418554938005,2339
120,10,80,50,930.7439230515499,-50.9662918254848,62.79956427015251,1836
60,30,80,10,929.7834373735997,-43.76765364235463,60.73040623717686,2437
50,20,55,20,926.4718980568499,-48.69822902623211,63.00788356579745,3298
150,35,75,50,925.9382918552506,-55.7820025929899,62.90993071593534,2165
150,35,80,20,925.5078152148504,-61.84767979458358,62.727272727272734,1980
100,15,80,30,922.0742286086509,-52.95573697708386,62.72869837950863,1913
150,15,80,15,921.2963266818507,-51.882363851841106,61.6370808678501,2028
150,35,75,40,921.2115416356493,-55.775909289534276,62.92705447830102,2166
150,30,80,30,909.8249055611991,-62.88942866583268,62.98429319371728,1910
30,30,80,20,906.4364133718002,-55.49172426300053,61.94513715710723,2005
50,20,55,30,904.9637719918494,-47.950196029958406,63.00911854103344,3290
50,20,55,15,904.9228339571996,-52.34268867122173,63.054633262903714,3313
30,25,80,20,904.66239411485,-55.073955892521695,62.40676280457483,2011
50,20,80,10,903.9664786923995,-44.451553595678874,60.04184100418411,2390
60,10,80,30,901.6930724337508,-49.36827696180636,62.65889830508474,1888
50,20,55,40,899.7333675828,-47.94622759344377,62.994522215459526,3286
50,10,80,40,899.0489086576991,-48.53769860427999,62.4468085106383,1880
100,15,80,15,898.6708768837495,-52.56499925350244,61.81730304494925,2069
100,15,70,20,898.5784182241497,-55.07032497597375,62.60296540362438,2428
100,35,80,10,895.4592117852495,-50.77752125750574,60.57971014492753,2415
150,30,80,40,875.7308008013995,-63.52502180028943,63.0801687763713,1896
150,20,80,30,875.5282336107996,-62.07993153552726,62.67866596082583,1889
120,15,80,40,874.7817573665995,-55.61662859179769,62.35294117647059,1870
50,20,55,50,866.1810984230012,-47.942345223043645,62.971985383678444,3284
100,20,70,50,861.5227820153503,-52.878317290076126,62.874743326488705,2435
150,20,80,40,857.4848919184,-61.35421037437754,62.866275972296215,1877
100,20,70,40,855.1495493732501,-52.8887662594686,62.848932676518885,2436
100,20,70,30,851.7602922841,-52.88159333469261,62.894628946289465,2439
100,30,80,10,850.6314111882995,-54.59341343534325,60.56690287619841,2399
100,25,80,15,847.4590525471503,-56.306964490624324,62.30440967283073,2109
50,25,55,20,844.0968886821992,-53.17028965170593,63.00837320574163,3344
120,15,80,50,843.1760372791505,-54.94281049563856,62.473118279569896,1860
50,25,80,10,842.5400730782002,-50.47721009836367,60.190555095277546,2414
50,25,75,20,841.1852289661501,-53.04854054845617,63.85542168674698,2241
100,30,70,30,836.1994846681505,-56.21574616303965,63.20258794985847,2473
150,5,80,50,834.2371000792504,-61.86606921319632,62.62349066959385,1822
50,10,80,20,831.4796524619002,-49.37458048971102,61.68032786885246,1952
150,10,80,15,831.1853015923501,-53.73167589028327,61.791044776119406,2010
50,25,55,30,831.1098671570508,-52.479910867576265,63.009592326139085,3336
100,10,80,15,830.4195522101487,-52.428389792018024,61.839530332681015,2044
100,30,70,50,828.9277800266999,-56.21387692714082,63.128038897893035,2468
100,10,80,20,827.6533623521004,-53.175747029070074,62.544894817855315,1949
