SMA,Buy,Sell,MaxPos,MaxHold,Return,MDD,WinRate,Trades
150,32,80,5,25,972.75541096875,-53.683920221025026,53.94242803504381,799
130,32,76,3,20,963.5042348974499,-56.219998996629485,57.23905723905723,594
130,32,74,3,20,950.2642858878503,-62.057877790844806,58.07504078303426,613
130,28,74,5,30,939.5233992206,-43.81704610500261,61.94379391100703,854
130,22,80,5,40,936.6624967360498,-44.909147830281036,58.00653594771242,612
30,28,72,5,40,933.2367251595505,-48.19209455457331,64.45221445221445,858
150,32,74,5,30,922.3019581972501,-55.84047449580628,62.51428571428571,875
150,30,72,7,40,922.0989235382998,-42.90530687408495,62.61603375527426,1185
150,26,76,3,30,915.7437420792501,-53.96041914767227,61.16910229645094,479
150,28,76,5,30,914.3592627265997,-54.91008008859306,61.56716417910447,804
150,30,72,3,20,912.6250857932497,-56.08920373942451,58.65384615384615,624
150,28,74,5,40,911.1268993208997,-47.43064345375406,62.67515923566879,785
50,26,78,3,40,910.2373244184005,-73.87246953225355,61.165048543689316,412
150,26,70,5,40,909.9440198156497,-42.90201727954285,61.57407407407407,864
150,28,70,3,40,901.4116689164002,-42.11155196868987,62.28893058161351,533
50,24,80,3,40,899.15625826245,-78.9267161774431,61.240310077519375,387
150,30,74,5,30,898.75586668585,-54.86154156643093,62.91618828932262,871
150,28,72,5,30,892.84312103115,-40.883818981692954,62.22980659840728,879
150,32,72,7,40,883.3105873347503,-43.329160272105604,62.311557788944725,1194
150,26,72,3,40,883.2327713870999,-48.01230158412528,62.78118609406953,489
150,28,76,3,20,877.12077160185,-54.716633069438515,56.33561643835616,584
150,28,74,3,40,870.104896994,-53.09933284984226,61.1587982832618,466
110,28,70,3,40,869.3950135552502,-56.87314726037476,61.038961038961034,539
110,20,80,3,30,853.7212352385502,-50.88004698528017,57.793764988009585,417
150,30,72,5,40,845.5302695235996,-40.93040286668305,61.39088729016786,834
150,26,80,3,30,844.4264993841498,-70.65118810793504,56.27906976744186,430
50,26,78,3,10,841.1317500559003,-59.909782717340576,49.512459371614305,923
150,30,80,3,30,837.5993645846501,-77.53643282775265,57.1753986332574,439
150,26,76,3,40,829.5462084245498,-61.70928964911688,59.49074074074075,432
150,26,74,5,40,827.7677188332999,-53.471693804002406,61.86770428015564,771
150,32,74,5,40,821.8666161782002,-50.03202934733954,62.219451371571076,802
130,24,80,5,40,821.3739847486501,-57.29880509101319,57.86061588330632,617
150,24,80,5,40,811.8286272272501,-67.19384625436349,58.93719806763285,621
150,26,76,5,30,811.6553391856501,-61.40949433367018,61.28625472887768,793
90,26,76,3,20,811.1187128855997,-62.994533815391584,59.32773109243698,595
110,28,80,3,30,809.8048003712499,-59.56056754435504,58.333333333333336,444
150,28,72,7,40,809.6766562480503,-40.62131740874775,63.290043290043286,1155
150,32,80,3,40,804.9736033787998,-59.65773809858914,58.656330749354005,387
150,28,80,3,30,797.7872606582998,-77.77822805632792,56.97940503432495,437
50,30,76,3,20,797.2753544443499,-68.85656840167319,56.80672268907563,595
150,24,74,5,40,793.0796988552996,-58.40572317586143,60.823373173970786,753
150,26,76,5,20,792.3183771146003,-45.30029327309028,57.66806722689075,952
150,26,78,3,40,789.9140662930499,-62.76006250421371,58.25,400
150,26,80,3,25,786.95156141245,-65.69399286727308,55.010660980810236,469
150,30,76,3,30,778.96992927295,-58.293100972444215,60.53169734151329,489
150,20,74,3,30,765.8477808437505,-53.54047069504683,61.458333333333336,480
50,30,72,3,40,761.3249088640998,-66.53140187771204,62.61510128913444,543
110,32,80,3,20,760.70616493925,-68.38796759008868,55.03597122302158,556
110,26,76,3,20,759.6321060873502,-49.85250862354207,55.45927209705373,577
150,32,80,7,40,753.2531595451999,-59.8715633073421,58.836689038031324,894
50,32,80,3,20,751.6009385986002,-73.11475079432688,54.60992907801418,564
150,32,78,3,30,747.5869784450502,-59.30964797639404,58.31533477321814,463
70,30,80,3,30,741.1677279640003,-78.07594160474473,58.744394618834086,446
130,28,80,5,30,739.27772237105,-59.58767043028108,57.85123966942148,726
150,22,78,3,30,739.2121917819001,-60.035807121539676,57.40318906605923,439
150,28,70,3,25,737.8189229135003,-47.82723579363923,59.53177257525084,598
150,32,72,5,40,737.5281377362,-44.63977752575732,61.55688622754491,835
150,26,72,7,40,735.53724232455,-40.009732913465825,63.436123348017624,1135
