BuyDate,SellDate,Name,Ticker,BuyPrice,SellPrice,Shares,PnL_Amount,PnL_Pct,HoldingDays,BuyRSI,SellRSI
2025-05-27,2025-06-04,LS마린솔루션,060370.KQ,17880.0,20100.0,162073,346207862.9790001,11.93327337990841,8,18.578106578141117,70.54610446376904
2025-10-14,2025-10-27,디앤디파마텍,347850.KQ,178100.0,193300.0,22695,326496851.55000067,8.06836876502748,13,26.559987456915465,75.68424334099214
2025-06-11,2025-06-24,유진로봇,056080.KQ,10460.0,11470.0,326296,313844707.7880001,9.184853288698879,13,33.579067388573336,81.50676869304611
2025-04-22,2025-05-07,데브시스터즈,194480.KQ,37700.0,42150.0,69114,295384423.96500015,11.323509793975662,15,24.498533129002382,80.79191783796725
2024-07-17,2024-07-24,카페24,042000.KQ,29400.0,33950.0,66918,295058024.2049999,14.98021323097485,7,14.499133308000935,71.81992043872233
2025-06-05,2025-06-11,리가켐바이오,141080.KQ,107400.0,118000.0,28831,291331200.49000025,9.39774938522748,6,27.717802500608826,72.88098669547792
2025-11-17,2025-12-01,선익시스템,171090.KQ,46850.0,49900.0,102588,291240920.25,6.052671231712132,14,16.724967413191763,74.01777251423631
2025-04-23,2025-05-14,유일로보틱스,388720.KQ,72700.0,81100.0,35390,285276312.7000003,11.075200245989476,21,32.684852667931494,83.6336520940784
2025-01-17,2025-02-10,코나아이,052400.KQ,21073.548828125,23707.7421875,110619,280450070.87913895,12.016804519934501,24,16.89991138407383,72.68310305282802
2025-09-19,2025-10-27,동성화인텍,033500.KQ,29700.189453125,31969.640625,131344,280365797.2762017,7.178875504585483,38,31.442648806676118,77.28619164894005
2024-04-09,2024-05-07,미코,059090.KQ,11180.0,13330.0,133724,280172306.63400006,18.71866584197404,28,21.950696273013207,82.07790928763521
2024-12-04,2024-12-13,디어유,376300.KQ,34466.5078125,39340.55859375,58625,276152566.39738774,13.651167447807946,9,23.855898989699,73.95517704293195
2025-11-10,2025-12-03,심텍,222800.KQ,53592.05859375,57085.0234375,83699,272148650.4513664,6.060191172676916,23,26.171997165125276,70.42310484361072
2025-10-10,2025-11-10,인카금융서비스,211050.KQ,12204.798828125,13048.2197265625,332900,262419573.03751516,6.451380428562661,31,32.359786513638284,78.13313958206777
2025-05-16,2025-05-26,인텔리안테크,189300.KQ,38781.83984375,42625.0859375,71467,261882099.46911097,9.43784198453599,10,32.11712838708503,72.02590860694562
2025-06-25,2025-07-04,엘앤씨바이오,290650.KQ,27677.875,29726.23828125,129459,248936202.89757013,6.939431889324667,9,32.01625114774173,70.95019829946519
2024-05-07,2024-05-21,씨앤씨인터내셔널,352480.KQ,76383.2578125,88194.1015625,21733,248738348.68624306,14.966689114274653,14,32.401187160656406,78.33187548692877
2024-08-26,2024-08-28,현대바이오,048410.KQ,9460.0,10775.0,194652,247243028.69700003,13.411424113854691,2,33.410954857856424,72.39159898045551
2025-01-31,2025-02-07,덕산네오룩스,213420.KQ,27650.0,30700.0,83351,243509738.12249994,10.55385763876063,7,18.583547248924106,74.26156170881913
2024-02-19,2024-02-28,이오테크닉스,039030.KQ,169393.046875,200924.21875,7805,239640494.232754,18.10475148131337,9,33.16350828004626,81.8001948455841
2023-12-12,2023-12-21,알테오젠,196170.KQ,72100.0,88100.0,15285,239050827.4499998,21.6665813510025,9,31.693546909327324,88.36824914240034
2025-04-30,2025-05-27,올릭스,226950.KQ,47200.0,51700.0,55494,237673310.30999994,9.063443565323603,27,34.11826999873155,78.0288165315342
2025-10-27,2025-10-29,솔브레인,357780.KQ,275000.0,291500.0,15397,235043288.4250002,5.5447235678969236,2,33.88542396744498,76.06737200809107
2024-12-18,2025-01-03,엠로,058970.KQ,62200.0,69200.0,34956,234571888.44000006,10.776176528824651,16,34.13792753515892,71.85809399300875
2024-11-25,2024-12-04,안랩,053800.KQ,55722.0,62735.2890625,34609,233665868.36099553,12.102647408896946,9,19.146198916133017,70.36938452763059
2025-05-08,2025-06-05,코미코,183300.KQ,58200.0,63400.0,46000,226934560.0,8.466826723151536,28,31.72596657470028,76.07126082802966
