SMA,Buy,Sell,Hold,MaxPos,Return,MDD,WinRate,Trades
120,20,70,50,3,1272.831804207599,-60.53296093259376,62.90106951871658,1496
100,5,70,30,3,1271.096566262451,-62.71988797913565,63.710777626193725,1466
100,30,80,50,3,1267.4455683150998,-57.36546417870719,63.63636363636363,1155
120,15,70,50,3,1265.2863674206012,-57.95553466936324,62.784471218206164,1494
100,30,80,20,3,1241.9254288618508,-55.434950995429,63.66666666666667,1200
50,15,80,10,5,1240.4859173499503,-47.15906665798934,59.97469422184732,2371
50,10,80,15,5,1228.2562253899,-41.27784167781087,61.81198246468582,2053
120,15,70,10,3,1225.4160229401987,-57.30897688869564,62.26076555023924,1672
200,30,80,50,3,1221.2298962551006,-65.91049818482556,63.63636363636363,1144
50,20,70,50,3,1200.5957723529502,-57.647328377135324,63.034759358288774,1496
200,25,80,20,3,1197.1013987045994,-68.40036573356562,63.3696563285834,1193
100,10,80,50,5,1192.0366305133991,-50.47097440655409,62.87234042553192,1880
50,25,70,30,3,1191.1978993668502,-62.53031932063128,63.40341655716163,1522
100,20,80,30,3,1174.8964836855002,-61.83967370687863,63.153310104529616,1148
200,25,80,30,3,1174.5408103294994,-64.67415630195099,63.64428945074106,1147
100,30,80,30,3,1173.9778623175496,-58.5193248565845,63.65979381443299,1164
120,5,70,50,3,1157.3211883939,-59.008651104053435,63.15068493150685,1460
100,5,80,30,3,1154.94998281005,-60.99915320451681,63.676731793960926,1126
120,15,80,10,3,1148.808478440349,-62.95242120655307,60.31073446327684,1416
120,5,80,30,3,1148.1400735681507,-64.52592866394934,63.327370304114496,1118
200,25,80,10,3,1146.2888211981492,-70.97709046740206,60.99644128113879,1405
120,20,70,10,3,1140.9031988196487,-62.02628371466966,62.39570917759237,1678
120,5,80,20,3,1128.57403072405,-68.5222962383185,63.36464560204953,1171
200,30,80,30,3,1126.2699216301992,-64.36371599259093,63.68375325803649,1151
120,5,70,30,3,1115.8302692005996,-59.005131135661934,63.15068493150685,1460
120,30,70,10,3,1113.9850918320997,-58.30924291446905,62.529550827423165,1692
50,10,70,20,3,1109.8954879452504,-54.30737592408086,62.71753681392236,1494
200,30,80,10,3,1104.46140935935,-68.63907461360466,60.76487252124646,1412
50,20,80,15,5,1100.6245638797013,-41.35798471774192,61.057692307692314,2080
100,5,80,50,3,1093.4186447490492,-62.03616197318361,63.497757847533634,1115
120,30,80,10,5,1078.98878244865,-54.538560340404196,61.29436325678497,2395
50,20,70,30,3,1063.1867219547999,-61.4077425582711,63.101604278074866,1496
120,5,80,50,3,1059.2675429618491,-66.34114084761782,63.33333333333333,1110
120,5,70,20,3,1055.8332692251993,-57.34614039728203,63.20434487440597,1473
120,20,80,30,3,1052.8025444558002,-72.42574944664655,62.26086956521739,1150
100,15,80,50,5,1050.2308608101505,-50.65348507332919,62.92785676671932,1899
120,30,80,30,3,1032.1441306287,-68.51688417954867,62.7177700348432,1148
100,30,80,10,3,1019.8738667342993,-60.26817478949973,61.41078838174274,1446
120,30,80,10,3,1019.3858500469989,-63.6586645312171,61.211699164345404,1436
120,25,70,20,3,1017.8225583350998,-60.66728642651269,62.74768824306472,1514
120,15,70,20,3,1017.6595837227998,-60.27664537244546,62.72425249169436,1505
100,10,80,30,5,1016.2579527823008,-53.00416019997052,62.769878883622965,1899
100,15,80,20,3,1015.814566039201,-61.066357937316,63.35034013605442,1176
120,10,80,20,3,1013.4553653316993,-69.47979020413354,63.05084745762712,1180
120,30,70,15,3,1005.7001285331002,-60.05872330485935,63.04627249357326,1556
