SMA,Buy,Sell,MaxPos,MaxHold,Return,MDD,WinRate,Trades
70,24,72,3,25,2472.3578610134005,-48.82912078691554,63.497571131158914,1441
70,20,76,3,25,2464.803132879901,-47.52070458847365,63.11044327573253,1331
110,26,80,3,30,2461.87533239425,-57.82955969176287,64.57990115321252,1214
90,20,72,3,25,2445.690011303149,-42.85354527544712,63.770147161878064,1427
110,22,76,3,30,2444.456835399749,-52.59306233470383,64.15963161933999,1303
90,24,74,3,10,2441.583470333299,-52.451154057265235,62.297128589263416,1602
30,24,80,3,15,2439.9177641553,-50.88272029116683,62.624712202609366,1303
110,24,72,3,30,2431.481331292701,-58.50229596435324,63.96396396396396,1443
70,22,74,3,10,2430.0018954383527,-60.39493297440776,61.82728410513142,1598
70,30,72,3,20,2428.36152210795,-53.049772488057215,62.902121834360024,1461
110,28,74,3,30,2419.9628065214492,-47.26718220968199,63.44476744186046,1376
70,28,74,3,10,2408.032005238847,-53.42491045985517,61.711430356027485,1601
110,24,76,3,30,2407.53345172295,-52.59497471751391,64.20890937019969,1302
90,22,74,3,10,2403.9541997225497,-52.68069405615936,62.13166144200627,1595
150,20,78,3,10,2395.607354707099,-57.87735443551939,60.878517501715855,1457
110,22,72,3,30,2392.17715573425,-58.50375411863319,63.95833333333333,1440
70,26,72,3,25,2391.978860482252,-49.12786856882229,63.504155124653735,1444
70,30,74,3,20,2390.7495216130496,-49.90784271346802,62.76747503566333,1402
110,26,76,3,30,2386.9543748783003,-52.658375259145,64.25826287471176,1301
110,20,76,3,30,2385.9215524752008,-49.47444022445232,64.35719784449576,1299
110,20,72,3,30,2381.253684912298,-55.032429417858694,64.02777777777777,1440
130,20,72,3,30,2376.74093868085,-56.771090092955646,63.65546218487395,1428
70,28,76,3,25,2376.4184194613995,-51.850435637023274,63.330843913368184,1339
90,22,74,3,40,2374.623078845599,-52.06762847029651,63.39677891654466,1366
70,30,78,3,15,2369.2694193676007,-56.95253635060305,62.397617274758,1343
90,32,72,3,20,2366.0242892492493,-49.34671290953176,63.77306903622693,1463
130,32,72,3,40,2362.16130290105,-56.723190231312806,63.25678496868476,1437
70,26,76,3,25,2357.29291453825,-49.50246197164555,63.24850299401198,1336
110,24,72,3,40,2354.382922336099,-58.50288883444789,64.00832177531207,1442
110,22,80,3,40,2348.940389121402,-55.89232420705888,64.17910447761194,1206
70,26,74,3,30,2334.717628976049,-47.49402578416224,62.79912980420595,1379
70,32,78,3,15,2326.965319910448,-56.810023405799804,62.37918215613383,1345
70,28,74,3,15,2319.6916703181505,-54.64407797360015,62.083333333333336,1440
90,22,72,3,10,2317.6041613998996,-54.21327455121984,62.5537139349294,1629
110,22,72,3,40,2316.447230344451,-58.50477120818154,64.00277970813065,1439
90,24,72,3,10,2308.4661851461997,-55.4768183778744,62.68382352941176,1632
110,20,72,3,40,2306.155885947852,-55.0314938815362,64.0722724113968,1439
110,28,74,3,25,2304.532117941451,-49.01890693756075,63.68876080691642,1388
90,32,74,3,25,2295.6693750823974,-40.285723368389895,63.7410071942446,1390
110,22,74,3,15,2290.9590824044503,-47.280468141926306,64.01933701657458,1448
90,20,72,3,30,2282.7213175152015,-42.8219142640919,64.3758765778401,1426
