SMA,Buy,Sell,Hold,Return,MDD,Win,Trades
60,20,80,10,845.5429331855395,-53.95289287542051,49.40743767879036,2447
200,20,75,40,845.2752113320557,-48.92448029268384,63.771186440677965,1416
20,35,80,10,842.2023096726388,-49.85267980885315,50.337238196663115,2817
120,25,80,20,841.0891182031454,-50.36419212711824,56.454388984509464,1743
60,25,65,40,835.6361622869052,-48.24266637698681,64.79137365213315,2133
50,30,65,40,830.1396871832866,-58.398733404647,64.47944006999126,2286
50,20,75,40,829.945353997008,-55.23285726732583,63.345195729537366,1405
100,35,70,20,823.7210910721227,-46.1863150490592,62.980769230769226,2288
50,25,70,20,822.6737072789219,-50.065091045690245,62.640977443609025,2128
200,25,60,20,822.0114868532809,-53.62025056143683,64.55601348819783,2669
120,20,75,10,812.3149927329526,-49.3397782928605,52.31987929083365,2651
120,35,65,20,812.0332274089739,-50.54317000354376,64.55353691534597,2587
120,30,75,40,807.8348737306152,-48.39522856677513,62.93661060802069,1546
120,35,70,40,806.3802795436152,-52.55013875482547,64.01475237091675,1898
50,10,65,40,805.5261656888625,-38.2654142091208,66.49746192893402,985
120,30,70,40,804.998845276949,-47.48945679610575,64.85911749069643,1881
200,20,70,40,799.4114434459543,-50.99858339349234,63.900666262870985,1651
60,20,60,40,799.0658369795221,-52.75481527246867,64.40449438202248,2225
50,25,70,40,798.3510056593183,-65.23325097126487,64.74538332400671,1787
120,10,60,20,796.9797301108293,-34.21163731377238,64.12894375857339,1458
50,15,60,20,795.578052942076,-47.002174570957024,65.10215350635008,1811
120,10,70,40,794.5724056201229,-42.914726309382274,63.88415672913118,1174
60,25,70,40,793.6705727437701,-51.233903236686515,64.26966292134831,1780
60,25,60,40,789.4091387023776,-52.0284639658141,65.11720301946762,2517
60,35,75,20,788.1957845035805,-57.97663285539754,59.87261146496815,2041
50,15,65,20,787.1315062835208,-46.352841788358624,64.12078152753108,1689
60,10,80,10,786.4419490632697,-37.31138460508682,51.14942528735632,1218
100,20,75,40,784.2943166907253,-45.131808853342804,62.754743499648626,1423
120,35,75,10,781.6828873414593,-45.72239402995674,52.61255340124876,3043
60,30,65,40,781.10199921996,-55.1186283852119,64.15675913694407,2271
20,25,60,20,779.5648361098769,-45.94927496416242,65.53512494106553,2121
120,25,65,20,774.4172532762244,-53.71222450919867,64.01499375260308,2401
100,20,80,20,772.3746885439987,-47.97581271115928,55.62953995157385,1652
60,15,70,20,770.2653257875786,-46.7170601600416,60.775862068965516,1624
60,25,65,20,770.0761494455909,-53.27623960665555,64.24116424116424,2405
50,20,65,20,769.6497511529009,-50.32512893447746,64.23841059602648,2114
200,35,65,40,766.9269534594213,-45.986957517086935,64.00535236396075,2242
120,25,75,10,766.7257145969593,-46.427846421599355,52.52877572375305,2867
200,30,75,40,758.6423589714235,-63.770545119794896,63.49413298565841,1534
100,30,80,10,757.4355681580357,-48.23869531187892,50.93145869947276,2845
50,15,75,40,744.6100872418187,-50.900917831119315,62.57309941520468,1197
20,30,70,20,739.0942397979895,-48.08347256155891,63.934426229508205,2135
200,10,60,20,735.6117031207725,-41.49852499041559,63.224984066284264,1569
200,15,75,40,735.4856268422815,-44.734169505101555,63.27329678935004,1277
200,30,75,20,734.133048706813,-52.91815770985754,59.13978494623656,1953
100,25,70,10,729.39990655826,-50.06348644577978,55.35595475715236,3006
200,30,80,20,729.3562460734288,-58.52813321905674,55.907780979827095,1735
100,20,80,10,728.3523803977118,-58.47641624741324,50.317460317460316,2520
100,35,75,10,725.3561891812687,-40.588640155181125,52.82152230971129,3048
200,35,75,20,722.7723579702122,-61.96474488657353,59.34343434343434,1980
60,30,65,10,718.3325694561116,-58.408230261468816,58.181283107710414,3398
200,35,75,40,711.0615481790107,-65.31403089123027,63.38939197930142,1546
20,25,75,20,701.1710233918513,-48.83963419423904,60.99939061547837,1641
50,35,75,10,699.2986649451789,-62.03213307890124,51.837398373983746,3075
200,10,60,40,694.2792941980339,-38.58594365812264,63.13301823092505,1481
20,30,60,40,691.1836011101603,-55.217875968646105,64.77861986437973,2507
120,10,65,20,690.1434963207181,-42.20213757734822,62.8140703517588,1393
50,10,65,20,688.4565496283293,-31.962333733171793,65.12770137524558,1018
120,20,65,40,686.5178795755564,-38.558720859048975,64.12487205731831,1954
50,20,70,40,685.7563370595749,-54.488440351630985,64.88970588235294,1632
50,30,60,40,684.905100119965,-54.20909442264379,65.34282502810042,2669
200,25,65,20,683.8636036890712,-49.81455594953338,63.38682432432432,2368
20,25,80,20,683.8514420227749,-50.77764074252008,56.97131420947298,1499
50,35,60,40,677.3721269937068,-46.230612625326096,65.22361359570662,2795
120,20,70,20,676.8725830046918,-43.52384129445407,61.88811188811189,2002
20,25,70,40,673.0900675568004,-40.75215983944776,66.08150470219437,1595
20,30,70,40,670.642572580119,-48.5116423152989,65.5002733734281,1829
200,30,65,40,664.6570689461303,-44.61555017172669,63.89396709323584,2188
120,30,70,20,663.9718153489773,-45.91040789712357,62.84055381866905,2239
20,30,60,20,661.3015095310044,-43.30657275878919,64.1044776119403,2680
50,30,75,10,658.9043434788823,-45.844404049440406,52.07001009761023,2971
60,20,65,40,655.4072912477643,-45.8904648725048,64.63858554342174,1923
120,20,80,20,651.8667269625356,-44.067184111369926,55.49483910139648,1647
20,25,70,20,645.3750882188867,-47.00093859418221,63.941769316909294,1786
200,20,80,40,638.9640668643838,-52.47619802424918,63.45826235093697,1174
120,10,75,40,638.4046364017709,-44.59145065600267,62.53602305475504,1041
50,15,70,40,637.2844256613354,-52.283487410385355,64.13440467494522,1369
50,30,75,20,632.692456323679,-57.119088007498796,58.84115884115884,2002
100,30,75,10,631.5742754996577,-49.24794812364423,52.51340482573726,2984
50,25,80,10,630.0217165018877,-53.8526442255631,49.04027098231088,2657
100,20,65,40,628.6926080613636,-53.876511067378885,64.2380708055413,1949
100,35,60,20,627.8692573539631,-43.0495637198566,64.41018766756032,2984
50,35,65,40,627.8618148171336,-55.856512492536744,63.988095238095234,2352
60,35,70,40,620.232304037386,-50.022951448274576,62.54622292657158,1893
60,10,60,40,619.6705893654661,-31.450280498935022,65.33687943262412,1128
60,10,60,20,619.0659223513339,-26.723476127222824,64.52991452991454,1170
50,10,75,10,618.0605330663359,-33.63967826713338,51.99258572752549,1079
120,25,70,20,615.7053956126321,-49.86186426146421,62.085086489013555,2139
120,20,65,20,615.3488258560685,-50.147060717519466,63.25602546612097,2199
50,10,60,40,611.1773413255005,-32.12725083541491,65.39589442815249,1023
60,10,65,20,610.9099156665947,-38.165915284017906,64.35555555555555,1125
100,15,65,40,603.5274243804438,-41.60288479384954,63.691194209891435,1658
50,15,80,20,597.1783103647276,-50.26402117587803,54.48577680525164,1371
100,15,70,40,597.1440279090629,-46.167351814206086,63.76306620209059,1435
200,10,75,40,596.6674914694801,-36.860816310484374,63.53488372093024,1075
60,15,75,20,595.6665484038202,-55.98177769190459,57.31225296442688,1518
50,25,65,10,595.5893975337983,-43.81912105429321,58.07803934214769,3101
60,20,75,10,595.4816737981914,-50.476250642389154,51.06803797468354,2528
20,20,75,40,593.4104950253461,-35.9280885287492,64.46446446446447,999
60,10,75,10,592.4829436020632,-37.92280304754485,51.99674001629992,1227
100,20,75,20,585.9737956872716,-41.57497720486314,59.27777777777777,1800
