BuyDate,SellDate,Name,Ticker,BuyPrice,SellPrice,Shares,PnL_Amount,PnL_Pct,HoldingDays,BuyRSI,SellRSI
2024-09-27,2024-11-18,HLB,028300.KQ,86000.0,78100.0,12980,-107018996.70000005,-9.576097952470942,52,33.415790346951894,90.54413594764964
2018-01-30,2018-07-06,파마리서치,214450.KQ,58377.8046875,39583.00390625,5520,-104806151.88857812,-32.48634011924986,157,23.429295554539564,75.02390373298103
2023-01-25,2023-04-18,메가스터디교육,215200.KQ,74786.8203125,58457.3984375,6117,-101539554.54086715,-22.170350175625035,83,33.691492348579516,78.35737809398796
2018-08-10,2018-12-03,대주전자재료,078600.KQ,28666.62109375,18762.69921875,10157,-101529280.50368086,-34.829737254405835,115,26.965046490877768,72.63898293063716
2023-04-12,2023-08-08,로보티즈,108490.KQ,35900.0,28950.0,14323,-101442325.23250002,-19.70568804092564,118,28.119814427856042,71.31017207303607
2024-12-12,2025-02-04,SOOP,067160.KQ,98486.59375,90800.0,12429,-100499319.65352654,-8.200695091826923,54,32.54443167534447,70.16571049202453
2021-11-19,2021-12-28,와이지엔터테인먼트,122870.KQ,64919.74609375,56250.6484375,10864,-96917145.4678657,-13.725712346013816,39,23.77605456179107,79.09827109953315
2015-06-12,2015-07-16,SFA반도체,036540.KQ,5060.0,3415.0,58057,-96466132.34624997,-32.79975557752852,34,31.964277372791912,79.22629083895664
2022-06-14,2022-07-29,티에스이,131290.KQ,76828.46875,64023.71875,7179,-94007407.33598435,-17.024595140072268,45,17.740585317904717,79.72566932771039
2022-01-04,2022-03-17,파크시스템스,140860.KQ,141760.96875,123606.8359375,4788,-89566815.17335773,-13.180660260789356,72,32.03379849302053,72.72709120929335
2025-01-08,2025-02-10,코나아이,052400.KQ,25171.18359375,23707.7421875,56511,-88556560.26715732,-6.218490249798695,33,34.677559143400245,72.68310305282802
2019-06-18,2019-09-17,파마리서치,214450.KQ,44171.15234375,33583.4921875,7994,-85889494.38479644,-24.296181384471936,91,26.3515025961311,70.7117906176517
2022-05-24,2022-07-21,코미코,183300.KQ,55983.80078125,47697.0390625,10074,-85642990.3953926,-15.168000881130164,58,31.908748187631872,71.37541493870715
2019-02-20,2019-04-05,제룡전기,033100.KQ,9274.6025390625,7018.376953125,37386,-85576526.56838757,-24.651945258011292,44,29.138011120744565,76.86950942456586
2015-06-23,2015-10-07,골프존,215000.KQ,81558.6171875,56752.48046875,3384,-84866318.91170159,-30.713973495317436,106,21.448149499148997,79.9485859954159
2025-07-28,2025-09-05,차바이오텍,085660.KQ,11260.0,10900.0,203913,-83050502.29199982,-3.6129321617617465,39,18.398006054891596,71.67772905448398
2025-02-04,2025-03-21,파크시스템스,140860.KQ,225471.96875,213998.828125,6466,-80220621.02504516,-5.496150428806836,45,19.225947555880694,75.95556195100835
2021-10-19,2022-01-04,씨아이에스,222080.KQ,17550.0,15550.0,38493,-79648368.34499991,-11.776570903574836,77,32.04463030991303,89.73788793871528
2024-02-20,2024-03-28,펌텍코리아,251970.KQ,25050.0,23000.0,36621,-78781200.90750003,-8.57798960337329,37,34.72312261694624,70.59919267375818
2020-09-07,2020-11-05,나노신소재,121600.KQ,39310.125,32733.900390625,11035,-74205332.4392876,-17.08673960678817,59,21.512925720059513,72.74579614733688
2015-09-23,2016-02-01,젬백스,082270.KQ,34400.0,24000.0,6939,-72964695.24000001,-30.53221353582915,131,30.19900279624467,81.48924833697242
2016-09-02,2016-12-06,제주반도체,080220.KQ,6300.0,4345.0,36192,-71512921.896,-31.32796886754835,95,30.738082050116347,81.37440697088277
2021-08-06,2021-09-15,솔브레인,357780.KQ,321126.6875,289128.65625,2093,-69651026.06095159,-10.35101026070391,40,34.7168225609432,78.35204616687216
