BuyDate,SellDate,Name,Ticker,BuyPrice,SellPrice,Shares,PnL_Amount,PnL_Pct,HoldingDays,BuyRSI,SellRSI
2007-10-15,2007-10-22,케이엠더블유,032500.KQ,9362.5830078125,11931.2919921875,7606,19169846.326133594,26.888555852316504,7,26.144707729221864,76.49846274533496
2025-04-15,2025-04-30,코나아이,052400.KQ,30750.0,39100.0,76154,623813396.7650003,26.608335373669888,15,25.811082393809315,72.76625941693236
2012-07-20,2012-07-25,제우스,079370.KQ,825.6156616210938,1045.77978515625,156189,33724400.602152765,26.12261926769811,5,31.436143464526552,80.44028840742152
2005-06-23,2005-07-07,NHN KCP,060250.KQ,1258.095947265625,1589.62109375,20202,6567084.941993482,25.808653794161735,14,16.118343940474304,79.70542098401035
2020-06-12,2020-06-19,위메이드맥스,101730.KQ,5530.0,6970.0,72052,101714727.62,25.498434485694077,7,15.359351396608346,75.86344678884751
2007-06-11,2007-06-18,성광벤드,014620.KQ,16748.744140625,21073.73046875,3466,14693562.912126362,25.282333657078297,7,28.1949267860998,81.77349531320513
2009-11-13,2009-11-26,제룡전기,033100.KQ,2026.841064453125,2541.287353515625,27155,13689117.007054321,24.843156895932612,13,25.6540303814442,78.17315002826429
2017-11-10,2017-11-20,케이엠더블유,032500.KQ,7325.0,9175.0,41898,75947457.15000004,24.717990692955674,10,33.43819461068766,84.71984430553124
2011-09-19,2011-10-06,안랩,053800.KQ,26432.205078125,33081.55859375,3381,22026368.296896383,24.618703565727117,17,24.918557875953695,74.37454161907893
2005-02-02,2005-02-15,브이티,018290.KQ,5700.0,7125.0,3581,4999080.47625,24.463117414972785,13,34.92861759978014,73.45839759144229
2024-09-27,2024-10-08,올릭스,226950.KQ,17280.0,21600.0,110044,465715891.87199974,24.463117414972768,11,30.872288812217363,81.95524023926919
2025-11-07,2025-11-13,하나머티리얼즈,166090.KQ,37250.0,46500.0,115937,1050468926.6875,24.296052827838587,6,18.898040065224194,80.08780150957982
2020-07-21,2020-08-11,필옵틱스,161580.KQ,12593.044921875,15716.5166015625,39788,121730695.70734161,24.26711177607021,21,33.70356649134163,88.05198398285668
2024-05-24,2024-06-07,원익QnC,074600.KQ,32635.779296875,40621.12890625,49890,390132910.5466614,23.93348516292864,14,31.279006986703948,85.44420886730094
2024-08-29,2024-09-19,바이넥스,053030.KQ,21750.0,27000.0,86831,446305913.06249976,23.604751087972957,21,32.621719417430015,87.49734316911581
2021-04-05,2021-04-09,웹젠,069080.KQ,35604.5390625,44186.14453125,22674,190495019.062459,23.569532193725223,4,29.76890250662653,85.8114425386351
2011-11-08,2011-11-17,SOOP,067160.KQ,4826.4619140625,5987.2568359375,23928,27191411.465896875,23.51783378108516,9,28.24644537243313,85.22335628770747
2009-04-17,2009-04-27,메디톡스,086900.KQ,17865.646484375,22161.994140625,2599,10931372.899368748,23.515301001257637,10,27.823245171656737,74.41244091010245
2007-06-11,2007-06-14,다우데이타,032190.KQ,3609.78857421875,4459.59326171875,16083,13374714.663928568,23.011055820952116,3,30.221085503243486,85.23061004483235
2019-04-30,2019-05-13,우리기술투자,041190.KQ,3356.356201171875,4143.15771484375,133245,102584093.94827986,22.911942409760012,13,31.219135629534676,82.99768138167957
2012-01-31,2012-02-07,SOOP,067160.KQ,8945.97265625,11040.640625,13684,28046754.893188283,22.884574165189985,7,23.30365281559864,81.80206051596828
2020-12-29,2021-01-08,우리기술투자,041190.KQ,4725.0,5790.0,158058,164590181.50950003,22.013367167439988,10,32.00630932139535,79.49071999939508
2008-05-07,2008-06-02,대주전자재료,078600.KQ,4757.2451171875,5823.52392578125,12136,12651341.6032959,21.888012795426864,26,26.701249387657853,75.16916095447947
2011-10-27,2011-11-08,안랩,053800.KQ,50881.99609375,62280.89453125,2036,22689589.824109375,21.876889805503023,12,33.56491522143176,72.97490311050665
2008-12-01,2008-12-10,큐렉소,060280.KQ,7480.0,9150.0,4700,7673104.8500000015,21.80080474299476,9,31.084105543552127,75.33003002301483
2023-08-08,2023-09-01,가온칩스,399720.KQ,39200.0,47950.0,22416,191743718.04000008,21.796050613223375,24,21.31833067367147,78.7980210294685
2025-03-21,2025-04-10,올릭스,226950.KQ,39450.0,48250.0,57600,495512352.0,21.78140259107603,20,22.488432099315304,73.81233070231582
2023-08-18,2023-08-24,삼천당제약,000250.KQ,60100.0,73500.0,14986,196307008.95999992,21.770903560738752,6,21.013519717797365,80.27707229760306
2023-12-12,2023-12-21,알테오젠,196170.KQ,72100.0,88100.0,15213,237924778.4100001,21.666581351002527,9,31.693546909327324,88.36824914240034
2020-10-22,2020-11-04,오스코텍,039200.KQ,42100.0,51400.0,14265,129664213.875,21.565876201987667,13,18.338783759344665,82.924934507087
2007-10-09,2007-10-15,에스에프에이,056190.KQ,5808.435546875,7074.0869140625,11263,13928820.238757476,21.26678904613231,6,26.834229483645572,80.64289288831736
2006-11-27,2006-12-08,큐렉소,060280.KQ,8540.0,10400.0,4890,8887178.910000004,21.256807598662018,11,18.067741034039585,77.30749049289577
2025-01-13,2025-01-17,쏠리드,050890.KQ,5798.0458984375,7048.994140625,380650,465183289.4899144,21.053168705476647,4,23.259959636089604,78.14620989825295
2024-06-17,2024-06-21,보로노이,310210.KQ,41400.0,50300.0,42568,370083850.76,20.97574504295905,4,28.43405193442767,76.29784943221645
2024-11-04,2024-11-06,솔트룩스,304100.KQ,16670.0,20250.0,116333,406821386.9859998,20.953959335486438,2,26.075624989752697,82.03977101555762
2011-10-05,2011-10-19,네이처셀,007390.KQ,898.0,1090.0,106558,19983226.66039999,20.859508224784246,14,31.388893842853662,73.89576075661881
2017-07-20,2017-07-24,대주전자재료,078600.KQ,6708.78564453125,8142.1162109375,42380,59330635.23052782,20.843707897490788,4,29.337795505192418,83.77996049839034
2025-04-15,2025-04-22,네이처셀,007390.KQ,27400.0,33250.0,85464,488320143.6600003,20.829157782418847,7,33.96242058130744,73.43317818887425
2006-01-03,2006-01-05,미코,059090.KQ,9410.7841796875,11417.14453125,4448,8716184.905057818,20.798723949388904,2,30.63959880294685,76.1757081164422
2023-11-06,2023-11-08,코스메카코리아,241710.KQ,33148.921875,40188.078125,31462,216283711.31146264,20.714236323354932,2,30.030772700597666,74.45878197901342
2010-04-26,2010-05-13,에스엠,041510.KQ,5663.55517578125,6848.14599609375,13271,15347992.081149116,20.39668691941255,17,25.701087442662555,87.58945368168355
2020-08-14,2020-09-16,씨젠,096530.KQ,94783.625,114605.1484375,6061,117289538.78615272,20.393066176457772,33,18.930599416809343,77.62207074291203
2011-09-14,2011-09-30,서부T&D,006730.KQ,7254.31591796875,8767.248046875,11562,17076759.909632385,20.336531841578363,16,14.446881921882053,82.84861033541998
2025-09-17,2025-09-23,오스코텍,039200.KQ,39650.0,47800.0,94407,750897464.8275003,20.03706456364589,6,28.684473147158457,81.88305791417753
