RSI,SMA,Buy,Sell,Hold,MaxPos,Return,MDD,WinRate,Trades
3,20,5,75,50,10,474.97961510773405,-44.48290980543461,62.22269173885485,4733
3,20,5,75,50,20,553.8942151557351,-32.08736755686611,62.60999052389332,7387
3,20,5,80,5,3,19.951814156223957,-77.93798986109259,51.136749236511704,2947
3,20,5,80,5,5,61.90690694284409,-58.70870746555175,50.67284359144054,4533
3,20,5,80,5,10,81.00574588985991,-47.350353191961844,50.13303458899314,7141
3,20,5,80,5,20,14.919310657800056,-38.007200286733514,49.091111854577896,8967
3,20,5,80,10,3,308.56176397224016,-67.66413175147215,57.0473005255614,2093
3,20,5,80,10,5,491.75666485707114,-47.81587961327265,56.70103092783505,3298
3,20,5,80,10,10,349.8912736436421,-40.11480438949898,56.16122159090909,5632
3,20,5,80,10,20,275.17665755191763,-27.500443304772155,56.3801590306702,7923
3,20,5,80,15,3,47.827932100747496,-82.53584462588165,58.7864911276474,1747
3,20,5,80,15,5,410.506802336322,-56.280089518017164,59.57522123893805,2825
3,20,5,80,15,10,437.5917567551812,-37.99268757319219,59.57105632391261,4989
3,20,5,80,15,20,465.1353803298213,-29.537801562551863,60.034880601019594,7454
3,20,5,80,20,3,391.03151140861564,-55.52434398834073,61.32190942472461,1634
3,20,5,80,20,5,1554.1613417167664,-44.73318242600346,61.19909502262444,2652
3,20,5,80,20,10,680.1666677908419,-36.465548663541355,60.88341473773625,4709
3,20,5,80,20,20,530.8152550263173,-29.706260980073644,61.129476584022036,7260
3,20,5,80,25,3,328.8056523972772,-70.3457819171917,61.76470588235294,1530
3,20,5,80,25,5,1524.5977948804566,-57.61039015597004,61.41889198884017,2509
3,20,5,80,25,10,664.0946647889865,-36.868368373035764,61.519823788546255,4540
3,20,5,80,25,20,567.6726424234107,-29.170545015740583,61.83291422184968,7158
3,20,5,80,30,3,318.261808965598,-63.05453198278174,61.61548731642189,1498
3,20,5,80,30,5,864.6834617464647,-60.53498803057044,61.32075471698113,2438
3,20,5,80,30,10,569.0492579145341,-43.69919381031166,61.41537074599955,4437
3,20,5,80,30,20,507.6360715780655,-31.391889043689748,61.8253743995479,7078
3,20,5,80,40,3,448.49962934172993,-57.08361694935809,61.67008898015058,1461
3,20,5,80,40,5,1266.189591804105,-61.34492979649283,61.720698254364095,2406
3,20,5,80,40,10,550.5467808313335,-45.70296395758102,61.54910096818811,4338
3,20,5,80,40,20,536.6862215012445,-33.955284904187124,62.10826210826211,7020
3,20,5,80,50,3,499.3879106056805,-59.38888536714878,61.83574879227053,1449
3,20,5,80,50,5,1541.2121308243015,-57.435705149520146,61.84100418410042,2390
3,20,5,80,50,10,497.6369474064119,-42.12760080022132,61.395348837209305,4300
3,20,5,80,50,20,553.2113989322382,-33.852888739920125,62.14203894616266,6984
3,20,10,55,5,3,-4.767856159170558,-71.53450730902877,56.29175946547884,3592
3,20,10,55,5,5,43.1268371718293,-64.03951991578307,56.33571036752606,5469
3,20,10,55,5,10,20.967095317432793,-52.88516369055797,55.545167698959915,8557
3,20,10,55,5,20,-4.409764956256623,-41.924516061779684,54.59145427286357,10672
3,20,10,55,10,3,176.64745216832242,-66.03256785995184,62.653651482284886,2766
3,20,10,55,10,5,367.8579093688643,-52.10501641938111,63.25592090135663,4349
3,20,10,55,10,10,217.47059192482388,-48.51520046175843,62.71186440677966,7198
3,20,10,55,10,20,130.40029169691354,-30.74357116509737,62.549760130652245,9797
3,20,10,55,15,3,204.57067345003503,-69.8241852822887,63.17034700315457,2536
3,20,10,55,15,5,610.4978917698082,-58.76522039320822,64.23303834808259,4068
3,20,10,55,15,10,330.5905962486241,-47.27518885161371,63.629726967440504,6849
3,20,10,55,15,20,177.9079164569748,-32.91601510523017,63.28002508623393,9567
3,20,10,55,20,3,458.4552962800788,-70.93912926062178,63.22163907953169,2477
3,20,10,55,20,5,743.657415343443,-63.55923811165316,64.16373681567052,3982
3,20,10,55,20,10,304.58581818849314,-49.912644865601706,63.55015557860424,6749
3,20,10,55,20,20,185.08460266003217,-34.71571694679729,63.266806722689076,9520
3,20,10,55,25,3,366.90108852862517,-69.30416086246095,62.959934587080944,2446
3,20,10,55,25,5,695.9063613331334,-57.4225222090451,64.15380723501139,3953
3,20,10,55,25,10,334.3859693724902,-46.032816956518516,63.54151140259353,6709
3,20,10,55,25,20,215.36782246141607,-32.804150500910936,63.30284873331231,9513
3,20,10,55,30,3,583.6592359128168,-62.21206511122808,63.17512274959084,2444
3,20,10,55,30,5,853.6627972634843,-51.41964924948928,64.17721518987342,3950
3,20,10,55,30,10,361.70845842578325,-43.79949329814092,63.62143603522914,6699
3,20,10,55,30,20,225.99774594068163,-32.22497896121781,63.30844463140183,9509
3,20,10,55,40,3,550.0825625911693,-65.09832340634576,63.160049119934506,2443
3,20,10,55,40,5,855.2192552219889,-55.193844605735656,64.1409021794222,3946
3,20,10,55,40,10,370.6743910071607,-43.601410474208805,63.59970126960418,6695
3,20,10,55,40,20,230.66720324754075,-32.1550226939812,63.31510307109802,9508
3,20,10,55,50,3,550.0825625911693,-65.09832340634576,63.160049119934506,2443
3,20,10,55,50,5,855.2192552219889,-55.193844605735656,64.1409021794222,3946
3,20,10,55,50,10,372.39899793887713,-43.40986363652577,63.59970126960418,6695
3,20,10,55,50,20,231.24834586635518,-32.04545713280421,63.31510307109802,9508
3,20,10,60,5,3,69.80304956453907,-66.72160495388846,55.3771149985661,3487
3,20,10,60,5,5,92.38993800829232,-59.82057099231836,55.7576894223556,5332
3,20,10,60,5,10,67.40987759343258,-49.280307181848684,54.701261604379916,8402
3,20,10,60,5,20,11.709999755324429,-34.94639344074588,53.80122468205369,10615
3,20,10,60,10,3,160.67190889791036,-63.41295302902991,61.808470049599386,2621
3,20,10,60,10,5,468.98069012269883,-52.44777184470547,62.78901734104046,4152
3,20,10,60,10,10,294.0889794163016,-46.846559794037546,62.08339344971866,6931
3,20,10,60,10,20,171.40891197303608,-32.31260694677183,61.9463505926388,9618
3,20,10,60,15,3,266.4525618387767,-60.81135340341599,62.85834738617201,2372
3,20,10,60,15,5,574.3907626432325,-61.14089690114388,63.40694006309149,3804
3,20,10,60,15,10,391.0706207717077,-45.32470202834992,63.04682686383241,6492
3,20,10,60,15,20,255.0499662125159,-33.28649004909103,63.00695559122526,9345
3,20,10,60,20,3,380.18853779459636,-61.49229697013971,62.959757680657724,2311
3,20,10,60,20,5,1267.5130124686514,-58.38760816330626,63.922518159806295,3717
3,20,10,60,20,10,385.6007515609633,-45.207997039523065,63.15706888435587,6373
3,20,10,60,20,20,263.8738740039183,-34.11269844220417,63.103968938740294,9272
3,20,10,60,25,3,294.36325896036504,-57.378640848066965,62.81826163301142,2278
3,20,10,60,25,5,1139.6620180645564,-51.51230048696006,63.91836734693877,3675
3,20,10,60,25,10,509.41084779890866,-44.69766988999133,63.312766967252024,6321
3,20,10,60,25,20,309.5438140980744,-31.205986310626134,63.15106980765075,9254
3,20,10,60,30,3,497.5919617596386,-56.86400836872858,62.85335689045937,2264
3,20,10,60,30,5,1266.3471165328074,-51.14916106084573,63.86531617848343,3653
3,20,10,60,30,10,533.6008311285631,-44.246295570847366,63.30901015228426,6304
3,20,10,60,30,20,325.50884550844455,-31.70525302027419,63.15447858070099,9244
3,20,10,60,40,3,401.49740048322593,-60.806148868117994,62.744227353463586,2252
3,20,10,60,40,5,1356.0066088185679,-57.27451414189857,63.88583973655324,3644
3,20,10,60,40,10,553.8589003688171,-43.8407635537493,63.289933312162596,6298
3,20,10,60,40,20,328.1355175149945,-32.30484573338798,63.16131126257708,9243
3,20,10,60,50,3,389.9423756058182,-60.85311251779629,62.744227353463586,2252
3,20,10,60,50,5,1392.9642190486197,-55.90864840907671,63.9132821075741,3644
3,20,10,60,50,10,555.9817327968548,-43.25951543495801,63.28410354136891,6297
